Year,Month,Nationality,Sector,Level Of Study,Broad Field Of Education,State,SA4_NAME_2021,Enrolment,Commencement,ABSRemotenessArea
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - North East,16,4,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Richmond - Tweed,1503,947,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - Blacktown,5321,3047,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,QLD,Central Queensland,321,192,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - South West,25,13,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Mornington Peninsula,1111,497,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,WA,Perth - South West,4950,1791,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,New England and North West,1437,656,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4419,2370,Major Cities of Australia
2019,Dec,_Total,_Total,_Total,_Total,NSW,Sydney - South West,760,437,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Sunshine Coast,3862,2512,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Darling Downs - Maranoa,4,4,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,VIC,Hume,176,46,Inner Regional Australia
2019,Dec,_Total,_Total,_Total,_Total,SA,Adelaide - West,1519,777,Major Cities of Australia
2018,Dec,_Total,_Total,_Total,_Total,NSW,Central West,130,59,Inner Regional Australia
2018,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - West,22191,11368,Major Cities of Australia
2020,Dec,_Total,_Total,_Total,_Total,QLD,Brisbane - West,23151,9441,Major Cities of Australia
2018,Dec,Azerbaijan,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,ACT,Australian Capital Territory,5,4,_Total
2018,Dec,China,_Total,_Total,_Total,ACT,Australian Capital Territory,11581,5774,_Total
2018,Dec,Colombia,_Total,_Total,_Total,ACT,Australian Capital Territory,114,91,_Total
2018,Dec,Denmark,_Total,_Total,_Total,ACT,Australian Capital Territory,23,23,_Total
2018,Dec,Iran,_Total,_Total,_Total,ACT,Australian Capital Territory,75,23,_Total
2018,Dec,Israel,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,ACT,Australian Capital Territory,45,31,_Total
2018,Dec,Libya,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Morocco,_Total,_Total,_Total,ACT,Australian Capital Territory,5,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,ACT,Australian Capital Territory,307,147,_Total
2018,Dec,Suriname,_Total,_Total,_Total,ACT,Australian Capital Territory,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,ACT,Australian Capital Territory,6,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,ACT,Australian Capital Territory,11,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,ACT,Australian Capital Territory,16,8,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,ACT,Australian Capital Territory,15,10,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Central Coast,12,6,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Central Coast,5,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Central Coast,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Central West,25,19,_Total
2018,Dec,Jordan,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Sierra Leone,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Central West,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NSW,Coffs Harbour - Grafton,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Hunter Valley exc Newcastle,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Hunter Valley exc Newcastle,4,4,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Illawarra,27,14,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Illawarra,37,6,_Total
2018,Dec,Liberia,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,NSW,Illawarra,17,8,_Total
2018,Dec,Peru,_Total,_Total,_Total,NSW,Illawarra,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Illawarra,8,4,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,NSW,Illawarra,178,91,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Illawarra,36,34,_Total
2018,Dec,Turkey,_Total,_Total,_Total,NSW,Illawarra,15,7,_Total
2018,Dec,United Kingdom British - Citizen,_Total,_Total,_Total,NSW,Illawarra,81,35,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,Japan,_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Mid North Coast,6,6,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,NSW,Mid North Coast,4,4,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,NSW,Murray,4,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NSW,Murray,4,4,_Total
2018,Dec,Argentina,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Austria,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,New England and North West,387,197,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,New England and North West,70,36,_Total
2018,Dec,Jordan,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Sierra Leone,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,New England and North West,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,New England and North West,23,17,_Total
2018,Dec,Albania,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Azerbaijan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Bhutan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,23,21,_Total
2018,Dec,Eritrea,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Ethiopia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,21,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,94,80,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,38,8,_Total
2018,Dec,Iran,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,86,15,_Total
2018,Dec,Japan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,124,98,_Total
2018,Dec,Latvia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Mexico,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,9,5,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,9,4,_Total
2018,Dec,Morocco,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,170,81,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,8,4,_Total
2018,Dec,Switzerland,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,7,4,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,27,15,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,4,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NSW,Newcastle and Lake Macquarie,7,4,_Total
2018,Dec,Cambodia,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Canada,_Total,_Total,_Total,NSW,Richmond - Tweed,40,24,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Richmond - Tweed,16,13,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Richmond - Tweed,11,7,_Total
2018,Dec,Peru,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Richmond - Tweed,4,4,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Richmond - Tweed,14,12,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Richmond - Tweed,111,89,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,NSW,Riverina,4,4,_Total
2018,Dec,Bolivia,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Costa Rica,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,6,4,_Total
2018,Dec,Honduras,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Nepal,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,14,14,_Total
2018,Dec,Norway,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,28,19,_Total
2018,Dec,Sri Lanka,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,4,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Sydney - Baulkham Hills and Hawkesbury,36,30,_Total
2018,Dec,Argentina,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Bosnia and Herzegovina,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Cameroon,_Total,_Total,_Total,NSW,Sydney - Blacktown,6,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Sydney - Blacktown,928,732,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Sydney - Blacktown,41,26,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Sydney - Blacktown,383,288,_Total
2018,Dec,Lebanon,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Sydney - Blacktown,309,241,_Total
2018,Dec,Myanmar,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Singapore,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,Slovakia,_Total,_Total,_Total,NSW,Sydney - Blacktown,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Sydney - Blacktown,18,11,_Total
2018,Dec,Andorra,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Angola,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Sydney - City and Inner South,2338,1003,_Total
2018,Dec,Brunei Darussalam,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - City and Inner South,1998,1418,_Total
2018,Dec,Egypt,_Total,_Total,_Total,NSW,Sydney - City and Inner South,85,34,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - City and Inner South,120,67,_Total
2018,Dec,Finland,_Total,_Total,_Total,NSW,Sydney - City and Inner South,96,66,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Sydney - City and Inner South,136,63,_Total
2018,Dec,Guinea,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - City and Inner South,2851,1736,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,NSW,Sydney - City and Inner South,58,16,_Total
2018,Dec,Kyrgyzstan,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - City and Inner South,334,205,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - City and Inner South,1068,627,_Total
2018,Dec,Rwanda,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Seychelles,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - City and Inner South,2267,1526,_Total
2018,Dec,Swaziland,_Total,_Total,_Total,NSW,Sydney - City and Inner South,4,4,_Total
2018,Dec,Vanuatu,_Total,_Total,_Total,NSW,Sydney - City and Inner South,6,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - City and Inner South,61,23,_Total
2018,Dec,Bahrain,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,151,68,_Total
2018,Dec,Bulgaria,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,17,9,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,292,221,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,13,8,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,5,4,_Total
2018,Dec,Lesotho,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Malawi,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,4,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,40,14,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,NSW,Sydney - Eastern Suburbs,5,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Sydney - Inner South West,31,11,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Inner South West,18,13,_Total
2018,Dec,Egypt,_Total,_Total,_Total,NSW,Sydney - Inner South West,12,7,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Inner South West,5,4,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - Inner South West,79,53,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Inner South West,85,36,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Oman,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Portugal,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Sydney - Inner South West,6,4,_Total
2018,Dec,Zambia,_Total,_Total,_Total,NSW,Sydney - Inner South West,4,4,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Sydney - Inner West,47,31,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Inner West,14,7,_Total
2018,Dec,Egypt,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Inner West,8,6,_Total
2018,Dec,Kenya,_Total,_Total,_Total,NSW,Sydney - Inner West,20,11,_Total
2018,Dec,Mauritius,_Total,_Total,_Total,NSW,Sydney - Inner West,5,4,_Total
2018,Dec,Sweden,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Tanzania,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Vanuatu,_Total,_Total,_Total,NSW,Sydney - Inner West,4,4,_Total
2018,Dec,Brazil,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,375,208,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,48,38,_Total
2018,Dec,Georgia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,8,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,44,21,_Total
2018,Dec,Indonesia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,104,56,_Total
2018,Dec,Italy,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,23,14,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,73,59,_Total
2018,Dec,Papua New Guinea,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,7,4,_Total
2018,Dec,Russian Federation,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,8,7,_Total
2018,Dec,Taiwan,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,26,19,_Total
2018,Dec,Turkey,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,55,40,_Total
2018,Dec,Ukraine,_Total,_Total,_Total,NSW,Sydney - North Sydney and Hornsby,4,4,_Total
2018,Dec,Bosnia and Herzegovina,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,298,194,_Total
2018,Dec,Colombia,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,54,31,_Total
2018,Dec,Denmark,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,6,4,_Total
2018,Dec,Morocco,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,13,5,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,6,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NSW,Sydney - Northern Beaches,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Sydney - Northern Beaches,88,79,_Total
2018,Dec,Finland,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,France,_Total,_Total,_Total,NSW,Sydney - Outer South West,6,4,_Total
2018,Dec,Ghana,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Hong Kong,_Total,_Total,_Total,NSW,Sydney - Outer South West,10,4,_Total
2018,Dec,Mongolia,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,United Arab Emirates,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Venezuela,_Total,_Total,_Total,NSW,Sydney - Outer South West,4,4,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,7,5,_Total
2018,Dec,"Korea, Republic of (South)",_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,128,44,_Total
2018,Dec,Netherlands,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,4,4,_Total
2018,Dec,Saudi Arabia,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,27,7,_Total
2018,Dec,Turkey,_Total,_Total,_Total,NSW,Sydney - Outer West and Blue Mountains,9,4,_Total
2018,Dec,Afghanistan,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Armenia,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Sydney - Parramatta,1962,1169,_Total
2018,Dec,Finland,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Sydney - Parramatta,15,9,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NSW,Sydney - Parramatta,9,5,_Total
2018,Dec,Israel,_Total,_Total,_Total,NSW,Sydney - Parramatta,8,4,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Morocco,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,North Macedonia,_Total,_Total,_Total,NSW,Sydney - Parramatta,4,4,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NSW,Sydney - Parramatta,592,334,_Total
2018,Dec,Poland,_Total,_Total,_Total,NSW,Sydney - Parramatta,26,16,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NSW,Sydney - Parramatta,16,10,_Total
2018,Dec,Spain,_Total,_Total,_Total,NSW,Sydney - Parramatta,54,27,_Total
2018,Dec,Uganda,_Total,_Total,_Total,NSW,Sydney - Parramatta,5,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NSW,Sydney - Parramatta,17,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Sydney - Parramatta,136,77,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - Parramatta,26,10,_Total
2018,Dec,Bangladesh,_Total,_Total,_Total,NSW,Sydney - Ryde,721,303,_Total
2018,Dec,Chile,_Total,_Total,_Total,NSW,Sydney - Ryde,45,23,_Total
2018,Dec,Dominican Republic,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Egypt,_Total,_Total,_Total,NSW,Sydney - Ryde,11,4,_Total
2018,Dec,Fiji,_Total,_Total,_Total,NSW,Sydney - Ryde,16,6,_Total
2018,Dec,Greece,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Kuwait,_Total,_Total,_Total,NSW,Sydney - Ryde,18,4,_Total
2018,Dec,Kyrgyzstan,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Laos,_Total,_Total,_Total,NSW,Sydney - Ryde,11,9,_Total
2018,Dec,Malawi,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Tuvalu,_Total,_Total,_Total,NSW,Sydney - Ryde,4,4,_Total
2018,Dec,Zimbabwe,_Total,_Total,_Total,NSW,Sydney - Ryde,28,10,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,India,_Total,_Total,_Total,NSW,Sydney - South West,68,57,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - South West,5,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Sydney - South West,4,4,_Total
2018,Dec,Vietnam,_Total,_Total,_Total,NSW,Sydney - South West,44,21,_Total
2018,Dec,China,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Czech Republic,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NSW,Sydney - Sutherland,12,6,_Total
2018,Dec,Thailand,_Total,_Total,_Total,NSW,Sydney - Sutherland,16,7,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NSW,Sydney - Sutherland,4,4,_Total
2018,Dec,Belgium,_Total,_Total,_Total,NT,Darwin,7,4,_Total
2018,Dec,China,_Total,_Total,_Total,NT,Darwin,286,139,_Total
2018,Dec,Ireland,_Total,_Total,_Total,NT,Darwin,7,6,_Total
2018,Dec,Jamaica,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Kazakhstan,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,Malaysia,_Total,_Total,_Total,NT,Darwin,31,12,_Total
2018,Dec,Nigeria,_Total,_Total,_Total,NT,Darwin,60,19,_Total
2018,Dec,Pakistan,_Total,_Total,_Total,NT,Darwin,74,34,_Total
2018,Dec,Solomon Islands,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,South Africa,_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,United Kingdom British - National (Overseas),_Total,_Total,_Total,NT,Darwin,4,4,_Total
2018,Dec,United States of America,_Total,_Total,_Total,NT,Darwin,12,6,_Total
2018,Dec,India,_Total,_Total,_Total,NT,Northern Territory - Outback,4,4,_Total
